,USDT_BTC_c,USDT_BTC_v,USDT_ETH_c,USDT_ETH_v,USDT_QTUM_c,USDT_QTUM_v,USDT_XRP_c,USDT_XRP_v,USDT_STR_c,USDT_STR_v,USDT_LTC_c,USDT_LTC_v,USDT_BCHABC_c,USDT_BCHABC_v,USDT_ZEC_c,USDT_ZEC_v,USDT_DASH_c,USDT_DASH_v,USDT_EOS_c,USDT_EOS_v,USDC_BTC_c,USDC_BTC_v,BTC_ETH_c,BTC_ETH_v,BTC_LTC_c,BTC_LTC_v,BTC_XRP_c,BTC_XRP_v,ETH_EOS_c,ETH_EOS_v,ETH_ZEC_c,ETH_ZEC_v,ETH_ETC_c,ETH_ETC_v,XMR_LTC_c,XMR_LTC_v,XMR_ZEC_c,XMR_ZEC_v,XMR_DASH_c,XMR_DASH_v
2155,8102.83375776,6247.74892755,255.90000484,276.97132473,3.1872884,0.0,0.3985287,4554.06367316,0.1263894,19.7167464,132.39766925,11601.13592578,326.02407723,11.75958595,88.3197326,758.59161828,152.8,0.0811368,6.31145612,0.0,8143.77029737,7419.04632326,0.03155006,1.39969824,0.01638,4.09534221,4.92e-05,0.27895116,0.02470492,0.0,0.34642886,0.0,0.03336137,0.10008411,1.49678899,0.0057415,0.99538861,0.0,1.71734933,0.00288064
2156,8116.0,11649.9508388,255.42801458,254.89927272,3.1872884,0.0,0.39926189,2638.77978919,0.12679658,2347.01603262,133.5960359,13362.41698896,326.02407723,0.0,88.12112577,528.72675462,153.63636,3253.01361628,6.37,282.39088755,8162.448,61228.06151266,0.03160098,1.25657806,0.01645499,17.98679047,4.906e-05,10.55396471,0.02470492,0.0,0.345,0.21017477,0.03306128,0.03306703,1.49678899,0.0,0.99538861,0.0,1.71734933,0.0
2157,8111.30318445,3954.15735299,255.51000109,269.29141591,3.1872884,0.0,0.3987987,1309.88515205,0.12679658,0.0,133.9981182,6786.66796325,329.2503171,28307.18656519,88.1129268,171.43373609,153.63636,0.0,6.37,0.0,8152.58388082,138.18046154,0.0316044,1.73164057,0.01642703,4.65471546,4.91e-05,1.6300502,0.02470492,0.0,0.345,0.0,0.03309497,0.0001025,1.49678899,0.0,0.99286864,0.00721291,1.71734933,0.0
2158,8095.01043211,2504.16734088,254.9359736,1970.86773298,3.1872884,0.0,0.3983,1602.79282765,0.12630606,13.3374454,134.2567163,402.4003164,329.2503171,0.0,88.96575543,552.04081483,153.63636,0.0,6.37,0.0,8150.9339347,482.67977112,0.03148499,0.13019334,0.01658425,0.43660252,4.908e-05,0.05015958,0.02470492,0.0,0.34930101,2.06756083,0.03309497,0.0,1.50427294,0.00574144,0.99286864,0.0,1.71734933,0.0
2159,8092.60000004,8893.47055348,255.32507015,2208.25018669,3.1872884,0.0,0.3983,0.02896128,0.12618028,1237.41997505,134.39740247,2706.51774313,329.2503171,0.0,89.4,80.74838741,153.63636,0.0,6.37,0.0,8151.48753889,44.33993426,0.03153499,0.26073299,0.016465,8.09587903,4.905e-05,0.42590408,0.02470492,0.0,0.34930101,0.0,0.03309497,0.0,1.49678899,0.0057415,0.99286864,0.0,1.71734933,0.0
2160,8110.63381787,22165.8948895,255.57998999,5181.66605209,3.1872884,0.0,0.39587956,110.92202529,0.1261,1144.988,133.70681998,1119.30601496,329.2503171,0.0,89.565294,625.97656974,153.88655244,61.99521751,6.37,0.0,8164.99998986,808.64167268,0.03154498,0.08746113,0.01646631,1.12232936,4.891e-05,0.38798962,0.02470492,0.0,0.349,0.06107889,0.03309497,0.0,1.48934227,0.00287073,0.99286864,0.0,1.71734933,0.0
2161,8103.4,17857.21724214,256.39989998,1504.32970724,3.1872884,0.0,0.39822877,541.31668036,0.1261,0.0,133.96368196,1501.18452292,329.2503171,0.0,89.01821554,627.77594895,154.2995762,25.44744702,6.37,0.0,8155.64148419,4224.61937211,0.03154076,1.77138859,0.01641076,0.1859289,4.898e-05,0.28682408,0.02470492,0.0,0.351,0.21881709,0.03309497,0.0,1.48934227,0.0,1.00296022,0.00298639,1.71734933,0.0
2162,8083.21206164,11976.64235386,256.39989998,0.0,3.1872884,0.0,0.3982,278.08297,0.12536935,884.72026603,133.0,24288.74096069,329.2503171,0.0,89.02370509,120.90625778,154.14527662,5.2604881,6.37,0.0,8135.18133714,11204.64192972,0.03158,1.68681855,0.01648098,0.27590128,4.921e-05,0.60110014,0.02470492,0.0,0.35,0.00136184,0.03309497,0.0,1.48934227,0.0,1.00296022,0.0,1.71734933,0.0
2163,8088.71997948,19857.14010398,257.7238134,13084.10508095,3.1872884,0.0,0.3982,0.0,0.12609999,3137.40288002,134.39952429,26183.14224986,329.2503171,0.0,89.02370509,0.0,156.36363636,513.83492197,6.39879952,1357.968254,8140.99999999,6509.25899176,0.03184716,22.36048877,0.016555,1.76974373,4.927e-05,0.52172157,0.02465335,9.0231296,0.34569651,0.04355801,0.03309497,0.0,1.48934227,0.0,1.00296022,0.0,1.74551528,2.48732865
2164,8130.0,13027.44514968,261.21143282,156600.78389198,3.21176714,8.3688002,0.399,4768.30378826,0.1261,1589.48224726,135.45878998,8717.62384449,323.50868894,75.13079221,91.5,879.82304647,155.45454545,2487.3285138,6.4,1422.47669299,8168.24680199,13761.65815788,0.03215002,29.55950713,0.01665996,1.76295904,4.924e-05,1.21413336,0.02454794,2.42622577,0.34768243,4.6553605,0.03300001,1.42288439,1.48934227,0.0,1.01451213,4.23151317,1.75206424,1.0501947
